,iter,score,time,passes,iteration
0,10,73,1.5831716060638428,10,21
1,18,82,1.1224653720855713,8,21
2,27,69,1.6756505966186523,9,21
3,37,87,1.8674077987670898,10,21
4,45,81,1.3614776134490967,8,21
5,50,63,0.5783650875091553,5,21
0,12,72,1.520881175994873,12,22
1,19,97,0.8686141967773438,7,22
2,26,55,0.8730888366699219,7,22
3,34,88,0.931882381439209,8,22
4,44,46,1.254974365234375,10,22
5,50,104,0.7370631694793701,6,22
0,8,102,1.5085034370422363,8,23
1,14,78,0.7636277675628662,6,23
2,25,76,1.360398769378662,11,23
3,31,54,0.731802225112915,6,23
4,39,49,1.4306528568267822,8,23
5,47,83,1.4969110488891602,8,23
6,50,132,0.4079148769378662,3,23
0,12,79,1.47263765335083,12,24
1,20,81,0.8662869930267334,8,24
2,30,77,1.0074942111968994,10,24
3,40,85,0.9858176708221436,10,24
4,49,77,0.896857500076294,9,24
5,50,271,0.10238122940063477,1,24
